year,farm code,farm_acreage,species,produced_quantity,crop_acreage,hours_of_machines_ha,nitrogen_ha,phosphorus_ha,potassium_ha,fert_area,Herbicide_Qt Tox-0,Herbicide_Qt Tox-1,Herbicide_Qt Tox-2,Herbicide_Qt Tox-3,Herbicide_Qt Tox-4,Insecticide_Qt Tox-0,Insecticide_Qt Tox-1,Insecticide_Qt Tox-2,Insecticide_Qt Tox-3,Insecticide_Qt Tox-4,Fungicide_Qt Tox-0,Fungicide_Qt Tox-1,Fungicide_Qt Tox-2,Fungicide_Qt Tox-3,Fungicide_Qt Tox-4
2008,2702008010540000001,19.2,durum_wheat,473.0,13.5,0.0,-888.0,-888.0,-888.0,13.5,17.955000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0
2008,2702008010543000001,172.0,durum_wheat,870.0,70.0,7.033,-888.0,-888.0,-888.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010551000001,125.38,durum_wheat,1900.0,44.89,23.99019826241925,-888.0,-888.0,-888.0,44.89,43.9922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010553000001,23.16,durum_wheat,400.0,10.44,5.776819923371648,-888.0,-888.0,-888.0,10.44,10.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010554000001,163.16,durum_wheat,3800.0,92.67,0.0,-888.0,-888.0,-888.0,92.67,91.7433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010555000001,82.69,durum_wheat,1600.0,39.34,0.0,-888.0,-888.0,-888.0,39.34,40.1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010556000001,26.47,durum_wheat,415.0,10.14,0.0,-888.0,-888.0,-888.0,10.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.207,0.0,0.0,0.0,0.0
2008,2702008010558000001,134.06,durum_wheat,1227.0,32.3,0.0,-888.0,-888.0,-888.0,32.3,2.5839999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010560000001,60.0,durum_wheat,600.0,15.0,0.0,-888.0,-888.0,-888.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010568000001,331.04,durum_wheat,5135.0,155.84,9.648806468172484,-888.0,-888.0,-888.0,155.84,179.21599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
