Farm ID,Year,Specie vegetale,Superficie coltivata,Ore uso macchina per ettaro
2812008009108000001,2009,Frumento duro,23.27,4.05
2812008009108000001,2010,Frumento duro,27.1,3.67
2812008009108000001,2011,Frumento duro,32.85,23.61
2812008009110000001,2008,Frumento duro,1.6,inf
2812008009110000001,2009,Frumento duro,0.83,2.86
2812008009110000001,2010,Frumento duro,1.6,1.61
2812008009110000001,2011,Frumento duro,1.0,10.26
2812008009201000001,2008,Frumento duro,8.77,3.58
2812008009201000001,2009,Frumento duro,5.36,7.3
2812008009205000001,2008,Frumento duro,10.86,1.31
2812008009205000001,2009,Frumento duro,25.59,6.02
2812008009401000001,2008,Frumento duro,19.54,23.95
2812008009401000001,2009,Frumento duro,8.1,26.49
2812008009401000001,2010,Frumento duro,11.0,47.54
2812008009401000001,2011,Frumento duro,15.0,28.63
2812008009401000001,2012,Frumento duro,8.0,12.56
2812008009401000001,2013,Frumento duro,25.0,26.56
2812008009401000001,2014,Frumento duro,16.81,12.71
2812008009401000001,2015,Frumento duro,17.05,7.51
2812008009402000001,2008,Frumento duro,250.79,23.92
2812008009402000001,2009,Frumento duro,212.0,
2812008009402000001,2010,Frumento duro,210.0,11.9
2812008009403000001,2008,Frumento duro,9.2,25.1
2812008009404000001,2008,Frumento duro,9.21,25.1
2812008009405000001,2008,Frumento duro,54.68,18.35
2812008009405000001,2009,Frumento duro,70.47,13.4
2812008009601000001,2008,Frumento duro,3.86,4.15
2812008009601000001,2009,Frumento duro,21.96,3.75
2812008009602000001,2008,Frumento duro,59.37,8.27
2812008009603000001,2008,Frumento duro,34.51,7.33
2812008009604000001,2008,Frumento duro,13.19,1.92
2812008009604000001,2009,Frumento duro,19.53,1.6
2812008009605000001,2008,Frumento duro,38.0,5.46
2812008009605000001,2009,Frumento duro,36.73,1.73
2812008009703000001,2008,Frumento duro,34.24,1.28
2812008009703000001,2009,Frumento duro,31.61,3.31
2812008009703000001,2010,Frumento duro,35.25,0.0
2812008009703000001,2011,Frumento duro,36.79,10.06
2812008009703000001,2012,Frumento duro,36.87,9.18
2812008009703000001,2013,Frumento duro,36.9,10.46
2812008009704000001,2008,Frumento duro,44.66,
2812008009704000001,2009,Frumento duro,56.22,0.0
2812008009704000001,2010,Frumento duro,30.45,0.0
2812008009704000001,2011,Frumento duro,22.07,13.59
2812008009704000001,2012,Frumento duro,17.69,4.52
2812008009705000001,2008,Frumento duro,13.53,0.0
2812008009705000001,2009,Frumento duro,14.34,0.0
2812008009707000001,2008,Frumento duro,15.05,9.05
2812008009707000001,2009,Frumento duro,18.0,9.23
2812008009708000001,2008,Frumento duro,18.04,0.53
2812008009708000001,2009,Frumento duro,15.03,1.91
2812008009710000001,2008,Frumento duro,20.95,3.71
2812008009710000001,2009,Frumento duro,22.55,0.0
2812008009711000001,2008,Frumento duro,2.34,0.0
2812008009711000001,2009,Frumento duro,13.1,1.27
2812008009804000001,2008,Frumento duro,18.65,8.04
2812008009805000001,2008,Frumento duro,15.37,inf
2812008009805000001,2009,Frumento duro,8.83,22.64
2812008009807000001,2008,Frumento duro,9.71,0.0
2812008009807000001,2009,Frumento duro,7.71,0.69
2812008009808000001,2008,Frumento duro,17.0,7.68
2812008009808000001,2009,Frumento duro,54.0,0.25
2812008020001000001,2008,Frumento duro,15.26,0.0
2812008020001000001,2010,Frumento duro,15.0,2.05
2812008020001000001,2012,Frumento duro,28.0,6.34
2812008020001000001,2016,Frumento duro,12.0,11.54
2812008020002000001,2008,Frumento duro,2.08,0.0
2812008020002000001,2009,Frumento duro,2.06,18.05
2812008020003000001,2008,Frumento duro,2.28,0.0
2812008020003000001,2009,Frumento duro,2.28,8.33
2812008020003000001,2010,Frumento duro,2.28,2.16
2812008020003000001,2011,Frumento duro,2.45,10.15
2812008020005000001,2008,Frumento duro,1.53,6.73
2812008020005000001,2009,Frumento duro,1.95,67.37
2812008020005000001,2010,Frumento duro,1.53,2.31
2812008020009000001,2008,Frumento duro,28.47,0.0
2812008020009000001,2009,Frumento duro,29.22,8.56
2812008020009000001,2010,Frumento duro,16.62,0.0
2812008020009000001,2011,Frumento duro,25.9,6.56
2812008020009000001,2012,Frumento duro,17.72,7.19
2812008020009000001,2013,Frumento duro,23.69,12.72
2812008020009000001,2014,Frumento duro,23.0,10.26
2812008020009000001,2015,Frumento duro,23.55,8.8
2812008020009000001,2016,Frumento duro,23.23,12.48
